text1,text2,prediction,probab_0,probab_1
This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.,0,0.6176926493644714,0.38230735063552856
This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.,1,0.054237138479948044,0.9457628130912781
"A woman with a green headscarf, blue shirt and a very big grin.",The woman is very happy.,1,0.13879625499248505,0.8612037897109985
"A woman with a green headscarf, blue shirt and a very big grin.",The woman has been shot.,1,0.08429522812366486,0.9157047271728516
An old man with a package poses in front of an advertisement.,A man poses in front of an ad.,1,0.4729710519313812,0.5270289182662964
An old man with a package poses in front of an advertisement.,A man walks by an ad.,1,0.18621553480625153,0.8137844204902649
A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.,1,0.34939974546432495,0.650600254535675
A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,1,0.163493350148201,0.8365066051483154
A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,0,0.5774890184402466,0.4225110113620758
A land rover is being driven across a river.,A vehicle is crossing a river.,1,0.2585984468460083,0.7414015531539917
A land rover is being driven across a river.,A sedan is stuck in the middle of a river.,1,0.09424025565385818,0.9057597517967224
A man playing an electric guitar on stage.,A man playing banjo on the floor.,1,0.27919065952301025,0.7208094000816345
A man playing an electric guitar on stage.,A man playing guitar on stage.,0,0.6902614831924438,0.3097384572029114
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book,1,0.17373614013195038,0.8262638449668884
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j,1,0.0661419928073883,0.9338579773902893
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall,1,0.11492884159088135,0.8850711584091187
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object,0,0.7791616916656494,0.22083835303783417
A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.,1,0.09322892129421234,0.9067710638046265
A young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.,1,0.49015703797340393,0.5098429918289185
A couple walk hand in hand down a street.,A couple is walking together.,1,0.383022278547287,0.6169776916503906
A couple walk hand in hand down a street.,A couple is sitting on a bench.,1,0.1954841911792755,0.8045158386230469
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three people sit by a busy street bareheaded.,1,0.07427944988012314,0.9257205128669739
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people pose for a picture.,0,0.5151732563972473,0.4848267734050751
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people stand in a street.,0,0.5071195363998413,0.4928804934024811
A man reads the paper in a bar with green lighting.,The man is inside.,1,0.10765819251537323,0.8923417925834656
A man reads the paper in a bar with green lighting.,The man is climbing a mountain.,1,0.07314731180667877,0.9268526434898376
Three firefighter come out of subway station.,Three firefighters coming up from a subway station.,0,0.5771767497062683,0.4228232800960541
Three firefighter come out of subway station.,Three firefighters playing cards inside a fire station.,1,0.22878645360469818,0.7712134718894958
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.,0,0.7305465936660767,0.26945340633392334
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is burning a straw hat.,0,0.6492615342140198,0.35073843598365784
Male in a blue jacket decides to lay in the grass.,The guy in yellow is rolling on the grass,1,0.1735997200012207,0.8264002799987793
Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass,1,0.28117188811302185,0.7188281416893005
During calf roping a cowboy calls off his horse.,A man ropes a calf successfully.,1,0.11296742409467697,0.8870325088500977
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A boy is on a playground.,0,0.7238375544548035,0.27616241574287415
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,The boy is sitting on the school bus on his way home.,1,0.0706433355808258,0.9293566346168518
A woman wearing a ball cap squats down to touch the cracked earth.,A squatting woman wearing a hat touching the ground.,1,0.28411146998405457,0.7158885598182678
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a sun bonnet planting a garden.,1,0.07917982339859009,0.9208201169967651
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are playing catch at a park.,1,0.05173129215836525,0.948268711566925
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are on a rug.,0,0.7452908754348755,0.2547090947628021
A man standing in front of a building on the phone as two men to the side pain on the side.,a guy near a building stands by two other men,1,0.3591058850288391,0.6408941149711609
A man standing in front of a building on the phone as two men to the side pain on the side.,two girls walk through a hall,1,0.08962154388427734,0.9103785157203674
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Girls are playing outdoors.,0,0.6977742910385132,0.3022257089614868
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Two girls play dress up indoors.,0,0.6297204494476318,0.3702795207500458
People jump over a mountain crevasse on a rope.,People are jumping outside.,1,0.3495306670665741,0.6504693627357483
People jump over a mountain crevasse on a rope.,People slide over a mountain crevasse on a slide.,0,0.7321603894233704,0.2678396701812744
A snowboarder on a wide plain of snow,A snow field with a snowboarder on it,0,0.545760989189148,0.45423901081085205
An older women tending to a garden.,The lady is cooking dinner,1,0.4414783716201782,0.5585216283798218
An older women tending to a garden.,The lady has a garden,0,0.6507430672645569,0.3492569327354431
A man in a black shirt overlooking bike maintenance.,A man destroys a bike.,1,0.27255645394325256,0.7274435758590698
A man in a black shirt overlooking bike maintenance.,A man watches bike repairs.,1,0.4143710136413574,0.5856289863586426
A man in a black shirt is looking at a bike in a workshop.,A man is wearing a red shirt,1,0.49287325143814087,0.5071267485618591
A man in a black shirt is looking at a bike in a workshop.,A man is in a black shirt,0,0.7005792260169983,0.2994208335876465
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A person is in a garage.,0,0.6287396550178528,0.3712603449821472
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man repairs bicycles.,0,0.70040363073349,0.2995963394641876
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man waits outside a garage.,1,0.34217196702957153,0.6578279733657837
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",Some people stand around.,1,0.26804667711257935,0.7319533228874207
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People run together.,1,0.07494350522756577,0.9250564575195312
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People wait at a station.,0,0.6392255425453186,0.3607744872570038
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond headed child,0,0.8236707448959351,0.17632921040058136
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing on top of a blond headed child,0,0.8211327195167542,0.17886725068092346
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.,1,0.09083180129528046,0.9091682434082031
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A person outside pushing a stroller.,0,0.7167383432388306,0.2832617163658142
A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,1,0.1084410697221756,0.8915588855743408
A dog jumping for a Frisbee in the snow.,"An animal is outside in the cold weather, playing with a plastic toy.",1,0.19187314808368683,0.8081268668174744
People are conversing at a dining table under a canopy.,People are talking underneath a covering.,1,0.07360944896936417,0.926390528678894
People are conversing at a dining table under a canopy.,People are screaming at a boxing match.,1,0.06438066810369492,0.9356193542480469
A girl playing a violin along with a group of people,A girl is washing a load of laundry.,1,0.09423429518938065,0.9057657122612
A girl playing a violin along with a group of people,A girl is playing an instrument.,0,0.7151942253112793,0.2848058044910431
A woman within an orchestra is playing a violin.,A woman is playing the violin.,0,0.7472274303436279,0.25277262926101685
A woman within an orchestra is playing a violin.,A man is looking in a telescope.,1,0.085097536444664,0.9149024486541748
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men look at the camera,0,0.6946945786476135,0.3053053617477417
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men sleeping in a tent,1,0.11242720484733582,0.8875727653503418
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A car making a right turn had three pedestrians cross behind it.,1,0.16294097900390625,0.8370590209960938
Three boys in white shirts are walking behind an older model Ford car.,there are three boys,0,0.5175285935401917,0.4824713468551636
Three boys in white shirts are walking behind an older model Ford car.,There are three girls,1,0.4853692054748535,0.5146307349205017
Three boys in white shirts are walking behind an older model Ford car.,The boys are on the street,1,0.15317082405090332,0.8468292355537415
Three girls blow out the candles of a cake made of Peeps.,Some people are blowing out candles,0,0.5391107797622681,0.4608892500400543
Three girls blow out the candles of a cake made of Peeps.,There are three girls and a cake,0,0.7589108943939209,0.2410890907049179
Three girls blow out the candles of a cake made of Peeps.,There are peeps in the garden.,1,0.16878902912139893,0.8312109708786011
A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd on the ground is watching 3 people on the roof's edge.,0,0.7025903463363647,0.29740965366363525
A crowd of people looking up at 3 people on the edge of the roof of a building.,Three people are climbing down the ladder on the building.,1,0.2563529908657074,0.743647038936615
A woman working long hours.,A woman is working.,0,0.6491022706031799,0.35089775919914246
A woman working long hours.,A woman is sleeping.,1,0.2750050723552704,0.724994957447052
Two teenage girls conversing next to lockers.,Girls talking next to the toilet.,1,0.09856157004833221,0.9014383554458618
Two teenage girls conversing next to lockers.,People talking next to lockers.,0,0.5881912112236023,0.41180872917175293
An old woman watches a man look down at some balls on the ground.,Two people are sleeping on the train.,1,0.09117428213357925,0.9088257551193237
"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.,1,0.4719492793083191,0.5280507206916809
"Two children, both wearing tan coats, are embracing one another.",Two kids are running down a highway.,1,0.055549927055835724,0.9444500207901001
