Aesthetic Appreciation and Spanish Art : ||| ADJ NOUN CCONJ ADJ NOUN PUNCT ||| SHIFT SHIFT REDUCE_L_amod SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_cc REDUCE_R_conj SHIFT REDUCE_R_punct
Insights from Eye - Tracking ||| NOUN ADP NOUN PUNCT NOUN ||| SHIFT SHIFT SHIFT SHIFT REDUCE_R_punct SHIFT REDUCE_L_compound REDUCE_L_case REDUCE_R_nmod
Claire Bailey - Ross claire.bailey-ross@port.ac.uk University of Portsmouth , United Kingdom ||| PROPN PROPN PUNCT PROPN PROPN PROPN ADP PROPN PUNCT VERB PROPN ||| SHIFT SHIFT SHIFT SHIFT REDUCE_L_punct REDUCE_R_flat REDUCE_R_flat SHIFT REDUCE_R_list SHIFT SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod REDUCE_R_list SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_punct REDUCE_R_list
Andrew Beresford a.m.beresford@durham.ac.uk Durham University , United Kingdom ||| PROPN PROPN PROPN PROPN PROPN PUNCT VERB PROPN ||| SHIFT SHIFT REDUCE_R_flat SHIFT REDUCE_R_list SHIFT SHIFT REDUCE_L_compound REDUCE_R_list SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_punct REDUCE_R_list
Daniel Smith daniel.smith2@durham.ac.uk Durham University , United Kingdom ||| PROPN PROPN PROPN PROPN PROPN PUNCT VERB PROPN ||| SHIFT SHIFT REDUCE_R_flat SHIFT REDUCE_R_list SHIFT SHIFT REDUCE_L_compound REDUCE_R_list SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_punct REDUCE_R_list
Claire Warwick c.l.h.warwick@durham.ac.uk Durham University , United Kingdom ||| PROPN PROPN PROPN PROPN PROPN PUNCT VERB PROPN ||| SHIFT SHIFT REDUCE_R_flat SHIFT REDUCE_R_list SHIFT SHIFT REDUCE_L_compound REDUCE_R_list SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_punct REDUCE_R_list
Do museum labels have an impact on how people look at artworks ? ||| AUX NOUN NOUN VERB DET NOUN ADP ADV NOUN VERB ADP NOUN PUNCT ||| SHIFT SHIFT SHIFT REDUCE_L_compound SHIFT REDUCE_L_nsubj REDUCE_L_aux SHIFT SHIFT REDUCE_L_det SHIFT SHIFT REDUCE_L_case SHIFT SHIFT REDUCE_L_nsubj SHIFT SHIFT REDUCE_L_case REDUCE_R_obl REDUCE_R_advcl REDUCE_R_nmod REDUCE_R_obj SHIFT REDUCE_R_punct
The viewing experience of art is a complex one , involving issues of perception , attention , memory , decision - making , affect , and emotion . ||| DET NOUN NOUN ADP NOUN AUX DET ADJ NOUN PUNCT VERB NOUN ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT VERB PUNCT NOUN PUNCT CCONJ NOUN PUNCT ||| SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_det SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det REDUCE_L_cop REDUCE_L_nsubj SHIFT SHIFT REDUCE_L_punct SHIFT SHIFT SHIFT REDUCE_L_case SHIFT SHIFT REDUCE_L_punct REDUCE_R_conj SHIFT SHIFT REDUCE_L_punct REDUCE_R_conj SHIFT SHIFT REDUCE_L_punct SHIFT REDUCE_R_punct SHIFT REDUCE_L_compound REDUCE_R_conj SHIFT SHIFT REDUCE_L_punct REDUCE_R_conj SHIFT SHIFT SHIFT REDUCE_L_cc REDUCE_L_punct REDUCE_R_conj REDUCE_R_nmod REDUCE_R_obj REDUCE_R_acl SHIFT REDUCE_R_punct
Thus , the time it takes and the ways of visually exploring an artwork can inform about its relevance , interestingness , and even its aesthetic appeal . ||| ADV PUNCT DET NOUN PRON VERB CCONJ DET NOUN SCONJ ADV VERB DET NOUN AUX VERB ADP PRON NOUN PUNCT NOUN PUNCT CCONJ ADV PRON ADJ NOUN PUNCT ||| SHIFT SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_det SHIFT SHIFT REDUCE_L_nsubj REDUCE_R_acl SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_cc SHIFT SHIFT SHIFT REDUCE_L_advmod REDUCE_L_mark SHIFT SHIFT REDUCE_L_det REDUCE_R_obj REDUCE_R_acl REDUCE_R_conj SHIFT SHIFT REDUCE_L_aux REDUCE_L_nsubj REDUCE_L_advmod SHIFT SHIFT SHIFT REDUCE_L_nmod REDUCE_L_case SHIFT SHIFT REDUCE_L_punct REDUCE_R_conj SHIFT SHIFT SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_nmod REDUCE_L_advmod REDUCE_L_cc REDUCE_L_punct REDUCE_R_conj REDUCE_R_obl SHIFT REDUCE_R_punct
This paper describes a collaborative pilot project focusing on a unique collection of 17th Century Zurbarán paintings . ||| DET NOUN VERB DET ADJ NOUN NOUN VERB ADP DET ADJ NOUN ADP ADJ NOUN PROPN NOUN PUNCT ||| SHIFT SHIFT REDUCE_L_det SHIFT REDUCE_L_nsubj SHIFT SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_amod REDUCE_L_det SHIFT SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det REDUCE_L_case SHIFT SHIFT SHIFT REDUCE_L_amod SHIFT SHIFT REDUCE_L_compound REDUCE_L_compound REDUCE_L_case REDUCE_R_nmod REDUCE_R_obl REDUCE_R_acl REDUCE_R_obj SHIFT REDUCE_R_punct
The Jacob cycle at Auckland Castle is the only UK example of a continental collection preserved in situ in purpose - built surroundings . ||| DET PROPN PROPN ADP PROPN PROPN AUX DET ADJ PROPN NOUN ADP DET ADJ NOUN VERB X X ADP NOUN PUNCT VERB NOUN PUNCT ||| SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_det SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_case REDUCE_R_nmod SHIFT SHIFT SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_amod REDUCE_L_det REDUCE_L_cop REDUCE_L_nsubj SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det REDUCE_L_case SHIFT SHIFT SHIFT REDUCE_L_case REDUCE_R_obl SHIFT SHIFT SHIFT REDUCE_R_punct SHIFT REDUCE_L_compound SHIFT REDUCE_L_amod REDUCE_L_case REDUCE_R_obl REDUCE_R_acl REDUCE_R_nmod SHIFT REDUCE_R_punct
While studies of the psychology of art have focused on individual works and distinctions between representative / non-representative topics , no work has been completed on the aesthetic appreciation of collections or of devotional themes . ||| SCONJ NOUN ADP DET NOUN ADP NOUN AUX VERB ADP ADJ NOUN CCONJ NOUN ADP ADJ SYM ADJ NOUN PUNCT DET NOUN AUX AUX VERB ADP DET ADJ NOUN ADP NOUN CCONJ ADP ADJ NOUN PUNCT ||| SHIFT SHIFT SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod REDUCE_R_nmod SHIFT SHIFT REDUCE_L_aux REDUCE_L_nsubj REDUCE_L_mark SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_case SHIFT SHIFT REDUCE_L_cc SHIFT SHIFT SHIFT SHIFT REDUCE_L_cc REDUCE_R_conj SHIFT REDUCE_L_amod REDUCE_L_case REDUCE_R_nmod REDUCE_R_conj REDUCE_R_obl SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_det SHIFT SHIFT SHIFT REDUCE_L_aux REDUCE_L_aux REDUCE_L_nsubj REDUCE_L_advcl SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det REDUCE_L_case SHIFT SHIFT REDUCE_L_case SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_case REDUCE_L_cc REDUCE_R_conj REDUCE_R_nmod REDUCE_R_obl SHIFT REDUCE_R_punct
In this paper , we report upon the novel insights eye - tracking techniques have provided into the unconscious processes of viewing the unique collection of Zurbarán artworks . ||| ADP DET NOUN PUNCT PRON VERB ADP DET ADJ NOUN NOUN PUNCT NOUN NOUN AUX VERB ADP DET ADJ NOUN SCONJ VERB DET ADJ NOUN ADP PROPN NOUN PUNCT ||| SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_nsubj REDUCE_L_obl SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det REDUCE_L_case SHIFT SHIFT REDUCE_R_punct SHIFT REDUCE_L_compound SHIFT REDUCE_L_compound SHIFT SHIFT REDUCE_L_aux REDUCE_L_nsubj SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det REDUCE_L_case SHIFT SHIFT REDUCE_L_mark SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_case REDUCE_R_nmod REDUCE_R_obj REDUCE_R_acl REDUCE_R_obl REDUCE_R_acl REDUCE_R_obl SHIFT REDUCE_R_punct
The purpose of this pilot study was to assess the effects of different written interpretation on the visual exploration of artworks . ||| DET NOUN ADP DET NOUN NOUN AUX PART VERB DET NOUN ADP ADJ VERB NOUN ADP DET ADJ NOUN ADP NOUN PUNCT ||| SHIFT SHIFT REDUCE_L_det SHIFT SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_det REDUCE_L_case REDUCE_R_nmod SHIFT SHIFT SHIFT REDUCE_L_mark REDUCE_L_cop REDUCE_L_nsubj SHIFT SHIFT REDUCE_L_det SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_amod REDUCE_L_case SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det REDUCE_L_case SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod REDUCE_R_nmod REDUCE_R_nmod REDUCE_R_obj SHIFT REDUCE_R_punct
We will discuss the potential implications of these techniques and our understanding of visual behaviours on museum and gallery practice . ||| PRON AUX VERB DET ADJ NOUN ADP DET NOUN CCONJ PRON NOUN ADP ADJ NOUN ADP NOUN CCONJ NOUN NOUN PUNCT ||| SHIFT SHIFT SHIFT REDUCE_L_aux REDUCE_L_nsubj SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case REDUCE_R_nmod SHIFT SHIFT SHIFT REDUCE_L_nmod REDUCE_L_cc SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_case REDUCE_R_nmod SHIFT SHIFT SHIFT SHIFT REDUCE_L_cc REDUCE_R_conj SHIFT REDUCE_L_compound REDUCE_L_case REDUCE_R_nmod REDUCE_R_conj REDUCE_R_obj SHIFT REDUCE_R_punct
The project brings together established research strengths in Spanish art history , experimental psychology , digital humanities , and museum studies to explore , using eye - tracking techniques , aesthetic reactions to digital representations of the individual Zurbarán artworks as well as the significance of the collection as a whole . ||| DET NOUN VERB ADP VERB NOUN NOUN ADP ADJ NOUN NOUN PUNCT ADJ NOUN PUNCT ADJ NOUN PUNCT CCONJ NOUN NOUN PART VERB PUNCT VERB NOUN PUNCT NOUN NOUN PUNCT ADJ NOUN ADP ADJ NOUN ADP DET ADJ PROPN NOUN ADV ADV ADP DET NOUN ADP DET NOUN ADP DET NOUN PUNCT ||| SHIFT SHIFT REDUCE_L_det SHIFT REDUCE_L_nsubj SHIFT REDUCE_R_compound SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_amod SHIFT SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_amod REDUCE_L_case SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_punct REDUCE_R_conj SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_punct REDUCE_R_conj SHIFT SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_cc REDUCE_L_punct REDUCE_R_conj REDUCE_R_nmod REDUCE_R_obj SHIFT SHIFT REDUCE_L_mark SHIFT SHIFT REDUCE_L_punct SHIFT SHIFT REDUCE_R_punct SHIFT REDUCE_L_compound SHIFT REDUCE_L_compound SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_punct SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_case SHIFT SHIFT SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_amod REDUCE_L_det REDUCE_L_case REDUCE_R_nmod REDUCE_R_nmod SHIFT SHIFT REDUCE_R_fixed SHIFT REDUCE_R_fixed SHIFT SHIFT REDUCE_L_det REDUCE_L_cc SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case REDUCE_R_nmod REDUCE_R_nmod REDUCE_R_conj REDUCE_R_appos REDUCE_R_obj REDUCE_R_advcl REDUCE_R_advcl SHIFT REDUCE_R_punct
Our experience of art develops from the interaction of several cognitive and affective processes ; the beginning of which is a visual scan of the artwork . ||| PRON NOUN ADP NOUN VERB ADP DET NOUN ADP ADJ ADJ CCONJ ADJ NOUN PUNCT DET NOUN ADP PRON AUX DET ADJ NOUN ADP DET NOUN PUNCT ||| SHIFT SHIFT REDUCE_L_nmod SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod SHIFT REDUCE_L_nsubj SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case SHIFT SHIFT SHIFT SHIFT SHIFT REDUCE_L_cc REDUCE_R_conj SHIFT REDUCE_L_amod REDUCE_L_amod REDUCE_L_case SHIFT SHIFT SHIFT REDUCE_L_det SHIFT SHIFT REDUCE_L_case REDUCE_R_nmod SHIFT SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_det REDUCE_L_cop REDUCE_L_nsubj REDUCE_L_punct SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case REDUCE_R_nmod REDUCE_R_acl REDUCE_R_nmod REDUCE_R_obl SHIFT REDUCE_R_punct
When regarding an artwork , a viewer gathers information through a series fixations , interspersed by rapid movements of the eye called saccades . ||| ADV VERB DET NOUN PUNCT DET NOUN VERB NOUN ADP DET NOUN NOUN PUNCT VERB ADP ADJ NOUN ADP DET NOUN VERB NOUN PUNCT ||| SHIFT SHIFT REDUCE_L_advmod SHIFT SHIFT REDUCE_L_det REDUCE_R_obj SHIFT REDUCE_R_punct SHIFT SHIFT REDUCE_L_det SHIFT REDUCE_L_nsubj REDUCE_L_advcl SHIFT REDUCE_R_obj SHIFT SHIFT SHIFT SHIFT REDUCE_L_compound REDUCE_L_det REDUCE_L_case SHIFT SHIFT REDUCE_L_punct SHIFT SHIFT SHIFT REDUCE_L_amod REDUCE_L_case SHIFT SHIFT SHIFT REDUCE_L_det REDUCE_L_case REDUCE_R_nmod SHIFT SHIFT REDUCE_R_obj REDUCE_R_acl REDUCE_R_obl REDUCE_R_acl REDUCE_R_obl SHIFT REDUCE_R_punct
