text,prediction,probab_0,probab_1
"simplistic , silly and tedious .",1,0.007020655553787947,0.9929793477058411
"it's so laddish and juvenile , only teenage boys could possibly find it funny .",0,0.621345579624176,0.37865445017814636
exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .,1,0.0014658761210739613,0.998534083366394
"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation .",1,0.0009434008388780057,0.9990566372871399
a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .,1,0.0007540470687672496,0.9992460012435913
"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count .",1,0.0007225602166727185,0.9992774128913879
about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time .,1,0.0011398764327168465,0.9988601207733154
not so much farcical as sour .,1,0.002490759128704667,0.997509241104126
unfortunately the story and the actors are served with a hack script .,1,0.000986556988209486,0.9990134239196777
"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject .",1,0.0013057944597676396,0.9986942410469055
a sentimental mess that never rings true .,1,0.0009409188642166555,0.9990591406822205
"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary .",1,0.001077765366062522,0.9989222288131714
"interesting , but not compelling .",1,0.039027176797389984,0.9609728455543518
"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire .",1,0.0007980407099239528,0.9992019534111023
"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle .",1,0.0016686629969626665,0.9983313679695129
there is a difference between movies with the courage to go over the top and movies that don't care about being stupid,1,0.0017608996713533998,0.9982390403747559
"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah .",1,0.0007865428342483938,0.999213457107544
"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard !",1,0.20496082305908203,0.795039176940918
"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha .",1,0.0006858219858258963,0.9993141889572144
this 100-minute movie only has about 25 minutes of decent material .,1,0.002888674382120371,0.9971113204956055
the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl .,1,0.024901622906327248,0.9750984311103821
"on its own , it's not very interesting . as a remake , it's a pale imitation .",1,0.0008276515291072428,0.9991723299026489
it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action .,1,0.002897987375035882,0.9971019625663757
"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films .",1,0.07778342068195343,0.922216534614563
"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma .",1,0.0008500316762365401,0.9991499185562134
the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville .,1,0.0017999558476731181,0.9982000589370728
our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender ó and i know this because i've seen 'jackass : the movie . ',1,0.0009895490948110819,0.999010443687439
"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . .",1,0.0007755450787954032,0.9992244243621826
"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here .",1,0.0007499837665818632,0.9992499947547913
"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's "" waking up in reno . "" go back to sleep .",1,0.0007609123713336885,0.9992390871047974
"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates .",0,0.9922041893005371,0.007795779965817928
the action clichÈs just pile up .,1,0.0005359087372198701,0.9994640946388245
"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast .",1,0.002007725415751338,0.9979922771453857
the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear .,1,0.0010752190137282014,0.9989247918128967
another useless recycling of a brutal mid-'70s american sports movie .,1,0.0006409687921404839,0.9993590712547302
i didn't laugh . i didn't smile . i survived .,1,0.00357674527913332,0.9964231848716736
"please , someone , stop eric schaeffer before he makes another film .",1,0.0030370266176760197,0.9969629645347595
"most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved",1,0.0008563053561374545,0.9991437196731567
". . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee .",1,0.01732460781931877,0.982675313949585
curling may be a unique sport but men with brooms is distinctly ordinary .,1,0.008769204840064049,0.991230845451355
"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set .",1,0.001962480368092656,0.9980375170707703
there's no getting around the fact that this is revenge of the nerds revisited -- again .,1,0.019617002457380295,0.980383038520813
"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable .",1,0.002058808458968997,0.9979411959648132
"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in .",1,0.0007576913922093809,0.9992423057556152
"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins .",1,0.0014374699676409364,0.9985625147819519
"stinks from start to finish , like a wet burlap sack of gloom .",1,0.0006120841717347503,0.9993878602981567
"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement .",1,0.0007999159279279411,0.9992000460624695
equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 .,1,0.0010872288839891553,0.9989128112792969
the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition . ,1,0.0008300438639707863,0.9991699457168579
everything is off .,1,0.011406981386244297,0.9885929822921753
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",0,0.9961990714073181,0.0038009213749319315
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",0,0.9993583559989929,0.0006416044197976589
effective but too-tepid biopic,1,0.018496226519346237,0.9815037250518799
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",0,0.9976065158843994,0.0023935087956488132
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",0,0.999454915523529,0.0005450396565720439
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,0,0.9994474053382874,0.0005525894812308252
offers that rare combination of entertainment and education .,0,0.999419093132019,0.0005808750865980983
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,0.01092496421188116,0.9890750050544739
steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,0,0.9988738894462585,0.0011260395403951406
take care of my cat offers a refreshingly different slice of asian cinema .,0,0.9995512366294861,0.0004486869147513062
"this is a film well worth seeing , talking and singing heads and all .",0,0.9995349645614624,0.00046509847743436694
what really surprises about wisegirls is its low-key quality and genuine tenderness .,0,0.9992746710777283,0.0007253402727656066
"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",0,0.98753821849823,0.012461801990866661
"one of the greatest family-oriented , fantasy-adventure movies ever .",0,0.9989665746688843,0.0010334019316360354
"ultimately , it ponders the reasons we need stories so much .",1,0.041194941848516464,0.9588050246238708
an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,0,0.9987654685974121,0.0012345362920314074
illuminating if overly talky documentary .,0,0.9994691014289856,0.0005308739491738379
a masterpiece four years in the making .,0,0.9992287158966064,0.0007712759543210268
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",0,0.9876963496208191,0.012303614057600498
offers a breath of the fresh air of true sophistication .,0,0.9993508458137512,0.0006491460953839123
"a thoughtful , provocative , insistently humanizing film .",0,0.9995075464248657,0.0004924256936646998
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",0,0.9953240752220154,0.004675902426242828
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,0,0.9979285001754761,0.0020714395213872194
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",0,0.9988262057304382,0.0011737903114408255
scores a few points for doing what it does with a dedicated and good-hearted professionalism .,0,0.9994539618492126,0.0005459869862534106
"occasionally melodramatic , it's also extremely effective .",0,0.9987200498580933,0.001279957010410726
spiderman rocks,0,0.9945117235183716,0.005488298833370209
an idealistic love story that brings out the latent 15-year-old romantic in everyone .,0,0.9994695782661438,0.000530497170984745
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1,0.0045551578514277935,0.9954448938369751
